dataset,source,column,dtype,n_unique,min_observed,max_observed,constraint_type_SUGGESTED,constraint_type_CONFIRMED,auto_note,kishore_note
EEG,cleanml,F8,float64,558,86.6667,152308.0,no_negative,none,"observed min=86.7 >= 0, no clear name signal — weak guess, please confirm","RESOLVED WITH KISHORE: raw EEG amplitude is signed in principle (a voltage/ADC reading relative to a baseline); the observed non-negative range in this sample is a sample/session artifact, not a device-encoding law. No range or sign constraint should be enforced on these channels — confirmed none."
EEG,cleanml,AF4,float64,592,1366.15,715897.0,no_negative,none,"observed min=1.37e+03 >= 0, no clear name signal — weak guess, please confirm","RESOLVED WITH KISHORE: raw EEG amplitude is signed in principle (a voltage/ADC reading relative to a baseline); the observed non-negative range in this sample is a sample/session artifact, not a device-encoding law. No range or sign constraint should be enforced on these channels — confirmed none."
EEG,cleanml,Eye,int64,2,0,1,no_negative,categorical,"observed min=0 >= 0, no clear name signal — weak guess, please confirm",binary target label (eye state)
ACSIncome,folktables,AGEP,float64,75,17.0,94.0,no_negative,"range:[0,115]",name suggests non-negative quantity; observed min=17 >= 0,age in years — genuine no_negative AND realistic upper bound (~115); use range not just no_negative for corruption-injection realism
ACSIncome,folktables,COW,float64,8,1.0,8.0,no_negative,categorical,"observed min=1 >= 0, no clear name signal — weak guess, please confirm","ACS PUMS coded classification variable, not a continuous non-negative quantity despite float64 dtype — treat as categorical for constraint purposes"
ACSIncome,folktables,SCHL,float64,24,1.0,24.0,no_negative,categorical,"observed min=1 >= 0, no clear name signal — weak guess, please confirm","ACS PUMS coded classification variable, not a continuous non-negative quantity despite float64 dtype — treat as categorical for constraint purposes"
ACSIncome,folktables,MAR,float64,5,1.0,5.0,no_negative,categorical,"observed min=1 >= 0, no clear name signal — weak guess, please confirm","ACS PUMS coded classification variable, not a continuous non-negative quantity despite float64 dtype — treat as categorical for constraint purposes"
ACSIncome,folktables,OCCP,float64,524,10.0,9830.0,no_negative,categorical,"observed min=10 >= 0, no clear name signal — weak guess, please confirm","ACS PUMS coded classification variable, not a continuous non-negative quantity despite float64 dtype — treat as categorical for constraint purposes"
ACSIncome,folktables,POBP,float64,209,1.0,554.0,no_negative,categorical,"observed min=1 >= 0, no clear name signal — weak guess, please confirm","ACS PUMS coded classification variable, not a continuous non-negative quantity despite float64 dtype — treat as categorical for constraint purposes"
ACSIncome,folktables,RELP,float64,18,0.0,17.0,no_negative,categorical,"observed min=0 >= 0, no clear name signal — weak guess, please confirm","ACS PUMS coded classification variable, not a continuous non-negative quantity despite float64 dtype — treat as categorical for constraint purposes"
ACSIncome,folktables,WKHP,float64,93,1.0,99.0,no_negative,"range:[0,168]","observed min=1 >= 0, no clear name signal — weak guess, please confirm","usual hours worked per week — bounded by hours in a week (168), stronger constraint than plain no_negative"
ACSIncome,folktables,SEX,float64,2,1.0,2.0,no_negative,categorical,"observed min=1 >= 0, no clear name signal — weak guess, please confirm","ACS PUMS coded classification variable, not a continuous non-negative quantity despite float64 dtype — treat as categorical for constraint purposes"
ACSIncome,folktables,RAC1P,float64,9,1.0,9.0,no_negative,categorical,"observed min=1 >= 0, no clear name signal — weak guess, please confirm","ACS PUMS coded classification variable, not a continuous non-negative quantity despite float64 dtype — treat as categorical for constraint purposes"
ACSIncome,folktables,target,int64,2,0,1,no_negative,categorical,"observed min=0 >= 0, no clear name signal — weak guess, please confirm","binary target/outcome label (0/1) — a classification label, not a continuous non-negative magnitude; missed on first pass because it inherited the bulk no_negative default instead of being read individually"
ACSPublicCoverage,folktables,AGEP,float64,50,15.0,64.0,no_negative,"range:[0,115]",name suggests non-negative quantity; observed min=15 >= 0,age in years — genuine no_negative AND realistic upper bound (~115); use range not just no_negative for corruption-injection realism
ACSPublicCoverage,folktables,SCHL,float64,24,1.0,24.0,no_negative,categorical,"observed min=1 >= 0, no clear name signal — weak guess, please confirm","ACS PUMS coded classification variable, not a continuous non-negative quantity despite float64 dtype — treat as categorical for constraint purposes"
ACSPublicCoverage,folktables,MAR,float64,5,1.0,5.0,no_negative,categorical,"observed min=1 >= 0, no clear name signal — weak guess, please confirm","ACS PUMS coded classification variable, not a continuous non-negative quantity despite float64 dtype — treat as categorical for constraint purposes"
ACSPublicCoverage,folktables,SEX,float64,2,1.0,2.0,no_negative,categorical,"observed min=1 >= 0, no clear name signal — weak guess, please confirm","ACS PUMS coded classification variable, not a continuous non-negative quantity despite float64 dtype — treat as categorical for constraint purposes"
ACSPublicCoverage,folktables,DIS,float64,2,1.0,2.0,no_negative,categorical,"observed min=1 >= 0, no clear name signal — weak guess, please confirm","ACS PUMS coded classification variable, not a continuous non-negative quantity despite float64 dtype — treat as categorical for constraint purposes"
ACSPublicCoverage,folktables,ESP,float64,9,0.0,8.0,no_negative,categorical,"observed min=0 >= 0, no clear name signal — weak guess, please confirm","ACS PUMS coded classification variable, not a continuous non-negative quantity despite float64 dtype — treat as categorical for constraint purposes"
ACSPublicCoverage,folktables,CIT,float64,5,1.0,5.0,no_negative,categorical,"observed min=1 >= 0, no clear name signal — weak guess, please confirm","ACS PUMS coded classification variable, not a continuous non-negative quantity despite float64 dtype — treat as categorical for constraint purposes"
ACSPublicCoverage,folktables,MIG,float64,3,1.0,3.0,no_negative,categorical,"observed min=1 >= 0, no clear name signal — weak guess, please confirm","ACS PUMS coded classification variable, not a continuous non-negative quantity despite float64 dtype — treat as categorical for constraint purposes"
ACSPublicCoverage,folktables,MIL,float64,5,0.0,4.0,no_negative,categorical,"observed min=0 >= 0, no clear name signal — weak guess, please confirm","ACS PUMS coded classification variable, not a continuous non-negative quantity despite float64 dtype — treat as categorical for constraint purposes"
ACSPublicCoverage,folktables,ANC,float64,4,1.0,4.0,no_negative,categorical,"observed min=1 >= 0, no clear name signal — weak guess, please confirm","ACS PUMS coded classification variable, not a continuous non-negative quantity despite float64 dtype — treat as categorical for constraint purposes"
ACSPublicCoverage,folktables,NATIVITY,float64,2,1.0,2.0,no_negative,categorical,"observed min=1 >= 0, no clear name signal — weak guess, please confirm","ACS PUMS coded classification variable, not a continuous non-negative quantity despite float64 dtype — treat as categorical for constraint purposes"
ACSPublicCoverage,folktables,DEAR,float64,2,1.0,2.0,no_negative,categorical,"observed min=1 >= 0, no clear name signal — weak guess, please confirm","ACS PUMS coded classification variable, not a continuous non-negative quantity despite float64 dtype — treat as categorical for constraint purposes"
ACSPublicCoverage,folktables,DEYE,float64,2,1.0,2.0,no_negative,categorical,"observed min=1 >= 0, no clear name signal — weak guess, please confirm","ACS PUMS coded classification variable, not a continuous non-negative quantity despite float64 dtype — treat as categorical for constraint purposes"
ACSPublicCoverage,folktables,DREM,float64,2,1.0,2.0,no_negative,categorical,"observed min=1 >= 0, no clear name signal — weak guess, please confirm","ACS PUMS coded classification variable, not a continuous non-negative quantity despite float64 dtype — treat as categorical for constraint purposes"
ACSPublicCoverage,folktables,PINCP,float64,911,-7100.0,30000.0,none,none,"negative values present (min=-7.1e+03) — verify: real negative quantity, or undocumented sentinel?","personal income — CAN legitimately be negative (self-employment/business losses); this is real-world economic behavior, not a sentinel or data defect. auto-flag ""verify negative"" is resolved: no constraint should be enforced here"
ACSPublicCoverage,folktables,ESR,float64,6,0.0,6.0,no_negative,categorical,"observed min=0 >= 0, no clear name signal — weak guess, please confirm","ACS PUMS coded classification variable, not a continuous non-negative quantity despite float64 dtype — treat as categorical for constraint purposes"
ACSPublicCoverage,folktables,FER,float64,3,0.0,2.0,no_negative,categorical,"observed min=0 >= 0, no clear name signal — weak guess, please confirm","ACS PUMS coded classification variable, not a continuous non-negative quantity despite float64 dtype — treat as categorical for constraint purposes"
ACSPublicCoverage,folktables,RAC1P,float64,9,1.0,9.0,no_negative,categorical,"observed min=1 >= 0, no clear name signal — weak guess, please confirm","ACS PUMS coded classification variable, not a continuous non-negative quantity despite float64 dtype — treat as categorical for constraint purposes"
ACSPublicCoverage,folktables,target,int64,2,0,1,no_negative,categorical,"observed min=0 >= 0, no clear name signal — weak guess, please confirm","binary target/outcome label (0/1) — a classification label, not a continuous non-negative magnitude; missed on first pass because it inherited the bulk no_negative default instead of being read individually"
MagicTelescope,openml,fLength:,float64,18643,4.2835,334.177,no_negative,no_negative,name suggests non-negative quantity; observed min=4.28 >= 0,"Hillas image parameter, non-negative by physical/geometric definition (length/width/size/concentration ratio/angle/distance)"
MagicTelescope,openml,fWidth:,float64,18200,0.0,256.382,no_negative,no_negative,"observed min=0 >= 0, no clear name signal — weak guess, please confirm","Hillas image parameter, non-negative by physical/geometric definition (length/width/size/concentration ratio/angle/distance)"
MagicTelescope,openml,fSize:,float64,7228,1.9413,5.3233,no_negative,no_negative,name suggests non-negative quantity; observed min=1.94 >= 0,"Hillas image parameter, non-negative by physical/geometric definition (length/width/size/concentration ratio/angle/distance)"
MagicTelescope,openml,fConc:,float64,6410,0.0131,0.893,no_negative,no_negative,"observed min=0.0131 >= 0, no clear name signal — weak guess, please confirm","Hillas image parameter, non-negative by physical/geometric definition (length/width/size/concentration ratio/angle/distance)"
MagicTelescope,openml,fConc1:,float64,4421,0.0003,0.6752,no_negative,no_negative,"observed min=0.0003 >= 0, no clear name signal — weak guess, please confirm","Hillas image parameter, non-negative by physical/geometric definition (length/width/size/concentration ratio/angle/distance)"
MagicTelescope,openml,fAsym:,float64,18704,-457.9161,575.2407,none,none,"negative values present (min=-458) — verify: real negative quantity, or undocumented sentinel?","asymmetry / third-moment image parameter — direction-signed by definition, negative values are physically meaningful, not sentinel or error"
MagicTelescope,openml,fM3Long:,float64,18693,-331.78,238.321,none,none,"negative values present (min=-332) — verify: real negative quantity, or undocumented sentinel?","asymmetry / third-moment image parameter — direction-signed by definition, negative values are physically meaningful, not sentinel or error"
MagicTelescope,openml,fM3Trans:,float64,18390,-205.8947,179.851,none,none,"negative values present (min=-206) — verify: real negative quantity, or undocumented sentinel?","asymmetry / third-moment image parameter — direction-signed by definition, negative values are physically meaningful, not sentinel or error"
MagicTelescope,openml,fAlpha:,float64,17981,0.0,90.0,no_negative,no_negative,"observed min=0 >= 0, no clear name signal — weak guess, please confirm","Hillas image parameter, non-negative by physical/geometric definition (length/width/size/concentration ratio/angle/distance)"
MagicTelescope,openml,fDist:,float64,18437,1.2826,495.561,no_negative,no_negative,"observed min=1.28 >= 0, no clear name signal — weak guess, please confirm","Hillas image parameter, non-negative by physical/geometric definition (length/width/size/concentration ratio/angle/distance)"
MagicTelescope,openml,class:,int64,2,0,1,no_negative,categorical,"observed min=0 >= 0, no clear name signal — weak guess, please confirm","binary target/outcome label (0/1) — a classification label, not a continuous non-negative magnitude; missed on first pass because it inherited the bulk no_negative default instead of being read individually"
bank-marketing,openml,V1,uint8,77,18,95,no_negative,no_negative,"observed min=18 >= 0, no clear name signal — weak guess, please confirm","age (client), genuine non-negative"
bank-marketing,openml,V2,category,12,,,categorical,categorical,"non-numeric — not handled by this mechanism, do not annotate as no_negative/range","confirmed non-numeric/coded categorical, excluded from range mechanism"
bank-marketing,openml,V3,category,3,,,categorical,categorical,"non-numeric — not handled by this mechanism, do not annotate as no_negative/range","confirmed non-numeric/coded categorical, excluded from range mechanism"
bank-marketing,openml,V4,category,4,,,categorical,categorical,"non-numeric — not handled by this mechanism, do not annotate as no_negative/range","confirmed non-numeric/coded categorical, excluded from range mechanism"
bank-marketing,openml,V5,category,2,,,categorical,categorical,"non-numeric — not handled by this mechanism, do not annotate as no_negative/range","confirmed non-numeric/coded categorical, excluded from range mechanism"
bank-marketing,openml,V6,float64,7168,-8019.0,102127.0,none,none,"negative values present (min=-8.02e+03) — verify: real negative quantity, or undocumented sentinel?","account balance — CAN legitimately be negative (overdraft); genuine economic behavior, not sentinel"
bank-marketing,openml,V7,category,2,,,categorical,categorical,"non-numeric — not handled by this mechanism, do not annotate as no_negative/range","confirmed non-numeric/coded categorical, excluded from range mechanism"
bank-marketing,openml,V8,category,2,,,categorical,categorical,"non-numeric — not handled by this mechanism, do not annotate as no_negative/range","confirmed non-numeric/coded categorical, excluded from range mechanism"
bank-marketing,openml,V9,category,3,,,categorical,categorical,"non-numeric — not handled by this mechanism, do not annotate as no_negative/range","confirmed non-numeric/coded categorical, excluded from range mechanism"
bank-marketing,openml,V10,uint8,31,1,31,no_negative,"range:[1,31]","observed min=1 >= 0, no clear name signal — weak guess, please confirm",day of month — bounded calendar constraint
bank-marketing,openml,V11,category,12,,,categorical,categorical,"non-numeric — not handled by this mechanism, do not annotate as no_negative/range","confirmed non-numeric/coded categorical, excluded from range mechanism"
bank-marketing,openml,V13,uint8,48,1,63,no_negative,no_negative,"observed min=1 >= 0, no clear name signal — weak guess, please confirm","call duration in seconds, genuine non-negative (NOTE: per project notes this column is slated for drop due to leakage, independent of this constraint)"
bank-marketing,openml,V14,float64,559,-1.0,871.0,none,no_negative,"no constraint signal found; observed range=[-1, 871]","CONFIRMED via data inspection (n=45211): V14==-1 co-occurs with V15(previous)==0 in 100.00% of V14==-1 rows — pdays is undefined precisely when the client was never contacted before, a perfectly consistent logical sentinel, not an independent negative observation. Underlying domain quantity (days since last contact) is genuinely non-negative; -1 is a documented placeholder to be handled by a sentinel-decode step, not a real value — confirmed no_negative, not none."
bank-marketing,openml,V15,float64,41,0.0,275.0,no_negative,no_negative,"observed min=0 >= 0, no clear name signal — weak guess, please confirm","previous — count of prior contacts, genuine non-negative"
bank-marketing,openml,V16,category,4,,,categorical,categorical,"non-numeric — not handled by this mechanism, do not annotate as no_negative/range","confirmed non-numeric/coded categorical, excluded from range mechanism"
bank-marketing,openml,Class,int64,2,0,1,no_negative,categorical,"observed min=0 >= 0, no clear name signal — weak guess, please confirm",binary target label
churn,openml,state,uint8,51,0,50,no_negative,categorical,"observed min=0 >= 0, no clear name signal — weak guess, please confirm","nominal US state code (0-50, 51 levels incl. DC) — a geographic identifier, not an ordinal/continuous quantity; missed on first pass"
churn,openml,account_length,uint8,218,1,243,no_negative,no_negative,name suggests non-negative quantity; observed min=1 >= 0,"tenure in days as a customer, a count — non-negative by definition of a count"
churn,openml,area_code,category,3,,,categorical,categorical,"non-numeric — not handled by this mechanism, do not annotate as no_negative/range","confirmed non-numeric/coded categorical, excluded from range mechanism"
churn,openml,international_plan,category,2,,,categorical,categorical,"non-numeric — not handled by this mechanism, do not annotate as no_negative/range","confirmed non-numeric/coded categorical, excluded from range mechanism"
churn,openml,voice_mail_plan,category,2,,,categorical,categorical,"non-numeric — not handled by this mechanism, do not annotate as no_negative/range","confirmed non-numeric/coded categorical, excluded from range mechanism"
churn,openml,number_vmail_messages,uint8,48,0,52,no_negative,no_negative,name suggests non-negative quantity; observed min=0 >= 0,count of voicemail messages — non-negative by definition of a count
churn,openml,total_day_minutes,float64,1961,0.0,351.5,no_negative,no_negative,name suggests non-negative quantity; observed min=0 >= 0,call-time duration in minutes — non-negative by definition (time/distance elapsed cannot be negative)
churn,openml,total_day_calls,uint8,123,0,165,no_negative,no_negative,name suggests non-negative quantity; observed min=0 >= 0,count of calls placed — non-negative by definition of a count
